,NewCustomerID
0,12367
1,12442
2,12558
3,12587
4,12660
5,12798
6,12882
7,12966
8,13017
9,13068
10,13079
11,13147
12,13188
13,13255
14,13298
15,13404
16,13436
17,14219
18,14287
19,14354
20,14480
21,14520
22,14569
23,14601
24,14785
25,14804
26,14836
27,14865
28,15101
29,15195
30,15206
31,15619
32,15773
33,15992
34,16000
35,16446
36,16500
37,16569
38,16597
39,16620
40,16789
41,16852
42,16988
43,16989
44,17157
45,17436
46,17468
47,17737
48,17929
49,17942
50,18030
51,18058
52,18174
53,18273
54,18282
